Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
S1,SE - CONALEP ESTADO DE MÉXICO,07_2020,9611,07,2020
S2,SE - TELEBACHILLERATO,07_2020,976,07,2020
S4,SE - CBT,07_2020,9553,07,2020
S5,SE - CECYTEM,07_2020,7098,07,2020
S7,SE - P.O. (1),07_2020,17769,07,2020
S8,SE - P.O. (2),07_2020,14510,07,2020
T3,UEMSTAyCM CMM,07_2020,221,07,2020
U6,UNAM,07_2020,37550,07,2020
A3,UEMSTAyCM CBTA,08_2020,625,08,2020
B0,Bachilleres,08_2020,31741,08,2020
C1,CONALEP,08_2020,15263,08,2020
D4,UEMSTIS,08_2020,27563,08,2020
G2,Dirección General del Bachillerato,08_2020,1259,08,2020
I5,IPN,08_2020,36034,08,2020
M9,UAEM,08_2020,236,08,2020
NO,Desconocido,08_2020,106606,08,2020
S0,SE - COBAEM,08_2020,3020,08,2020
S1,SE - CONALEP ESTADO DE MÉXICO,08_2020,8572,08,2020
S2,SE - TELEBACHILLERATO,08_2020,925,08,2020
S4,SE - CBT,08_2020,8336,08,2020
S5,SE - CECYTEM,08_2020,6086,08,2020
S7,SE - P.O. (1),08_2020,15304,08,2020
S8,SE - P.O. (2),08_2020,12913,08,2020
T3,UEMSTAyCM CMM,08_2020,231,08,2020
U6,UNAM,08_2020,27995,08,2020
A3,UEMSTAyCM CBTA,09_2020,659,09,2020
B0,Bachilleres,09_2020,28859,09,2020
C1,CONALEP,09_2020,16028,09,2020
D4,UEMSTIS,09_2020,26637,09,2020
G2,Dirección General del Bachillerato,09_2020,1168,09,2020
I5,IPN,09_2020,29045,09,2020
M9,UAEM,09_2020,173,09,2020
NO,Desconocido,09_2020,130230,09,2020
S0,SE - COBAEM,09_2020,2750,09,2020
S1,SE - CONALEP ESTADO DE MÉXICO,09_2020,7840,09,2020
S2,SE - TELEBACHILLERATO,09_2020,866,09,2020
S4,SE - CBT,09_2020,7004,09,2020
S5,SE - CECYTEM,09_2020,5182,09,2020
S7,SE - P.O. (1),09_2020,13119,09,2020
S8,SE - P.O. (2),09_2020,11523,09,2020
T3,UEMSTAyCM CMM,09_2020,246,09,2020
U6,UNAM,09_2020,21380,09,2020
A3,UEMSTAyCM CBTA,10_2020,663,10,2020
B0,Bachilleres,10_2020,25713,10,2020
C1,CONALEP,10_2020,16294,10,2020
D4,UEMSTIS,10_2020,25029,10,2020
G2,Dirección General del Bachillerato,10_2020,972,10,2020
I5,IPN,10_2020,23273,10,2020
M9,UAEM,10_2020,134,10,2020
NO,Desconocido,10_2020,150800,10,2020
S0,SE - COBAEM,10_2020,2467,10,2020
S1,SE - CONALEP ESTADO DE MÉXICO,10_2020,7222,10,2020
S2,SE - TELEBACHILLERATO,10_2020,912,10,2020
S4,SE - CBT,10_2020,5875,10,2020
